,address,lat,lon
0,1901 COLLEGE AVE SANTA ANA CA,33.7621884,-117.8916223
1,3000 I 35 NORTH DENTON TX,33.2177497,-97.1666795
2,"656 STATE STREET, PO BOX 926 BANGOR ME",44.8179098,-68.7415841
3,2700 NAPOLEON AVE NEW ORLEANS LA,29.9377396,-90.1043292
4,1401 10TH AVE W MOBRIDGE SD,45.5460299,-100.4490875
5,"64026 HWY 434, SUITE 300, 3RD FLOOR LACOMBE LA",30.3563984,-89.915892
6,94 OLD SHORT HILLS ROAD LIVINGSTON NJ,40.7629282,-74.3037812
7,400 YOUENS DRIVE WEIMAR TX,29.6944772,-96.78813470000001
8,900 HYDE ST SAN FRANCISCO CA,37.7893799,-122.4167294
9,"1691 HIGHWAY 9, CN2025 TOMS RIVER NJ",40.0118085,-74.21472260000002
10,1006 S JACKSON HUGOTON KS,37.1701582,-101.3494438
11,2201 HEMPSTEAD TURNPIKE EAST MEADOW NY,40.7265711,-73.5534993
12,2000 N OLD HICKORY TRAIL DESOTO TX,32.6280627,-96.86496269999999
13,611 WEST MAIN STREET FREDERICKTOWN MO,37.5588866,-90.3029133
14,921 GESSNER ROAD HOUSTON TX,29.7815597,-95.54591719999999
15,363 HIGHLAND AVENUE FALL RIVER MA,41.7092232,-71.1447124
16,4647 MONROE STREET TOLEDO OH,41.6896174,-83.6252092
17,3404 KAYDENCE COURT KILLEEN TX,31.0746945,-97.7104739
18,2729 SOUTH HIGHWAY 65 AND HIGHWAY 82 LAKE VILLAGE AR,33.2779063,-91.2511452
19,420 W HIGH ST DOWAGIAC MI,41.9833372,-86.115298
20,W180 N8085 TOWN HALL RD MENOMONEE FALLS WI,43.16432700000001,-88.13821600000001
21,10 SEVERANCE CIRCLE CLEVELAND HEIGHTS OH,41.5139966,-81.5505951
22,"9150 HUEBNER ROAD, SUITE 100 SAN ANTONIO TX",29.5274114,-98.5950889
23,703 N FLAMINGO RD PEMBROKE PINES FL,26.0121178,-80.3106098
24,"10 HOSPITAL DRIVE, 3RD FLOOR ST. PETERS MO",38.7874699,-90.6298922
25,5500 COLLEYVILLE BOULEVARD COLLEYVILLE TX,32.8889732,-97.1510371
26,500 NELSON BLVD KINGSTREE SC,33.6599065,-79.8186873
27,50 NORTH MEDICAL DRIVE SALT LAKE CITY UT,40.7720332,-111.8376281
28,240 MEETING HOUSE LANE SOUTHAMPTON NY,40.8850802,-72.3804032
29,"204 ENERGY PKWY, SUITE B LAFAYETTE LA",30.1802036,-92.0115673
30,1750 E KEN PRATT BLVD LONGMONT CO,40.162172,-105.058116
31,4000 CAMBRIDGE STREET KANSAS CITY KS,39.05591769999999,-94.6085894
32,16200 SAND CANYON AVE IRVINE CA,33.6606807,-117.7723086
33,1431 SW 1ST AVE OCALA FL,29.1755319,-82.1367891
34,645 E 5TH ST WEISER ID,44.2488266,-116.9629516
35,4175 SOUTH ALAMO AVENUE DAVIS-MONTHAN AFB AZ,32.1729968,-110.8599409
36,1 ROBERT WOOD JOHNSON PLACE NEW BRUNSWICK NJ,40.4957464,-74.4496951
37,10121 PINE AVE TRUCKEE CA,39.3259406,-120.2007985
38,"201 UNIVERSITY BOULEVARD, PO BOX 21231 TUSCALOOSA AL",33.2098407,-87.56917349999999
39,3555 CESAR CHAVEZ SAN FRANCISCO CA,37.7477035,-122.420695
40,5730 W ROOSEVELT RD CHICAGO IL,41.8663074,-87.7674928
41,1701 OAK PARK BOULEVARD LAKE CHARLES LA,30.2046906,-93.19758180000001
42,1 NOLTE DRIVE KITTANNING PA,40.80745539999999,-79.5643499
43,"180 S FRONTAGE RD W, PO BOX 36 VAIL CO",39.6436345,-106.3812556
44,16977 I-35 NORTH SCHERTZ TX,29.5942568,-98.28987409999999
45,1229 C AVENUE EAST OSKALOOSA IA,41.2995262,-92.6297829
46,1101 SUMMIT ROAD CINCINNATI OH,39.1949604,-84.473497
47,801 SEVENTH AVENUE FORT WORTH TX,32.736592,-97.3410219
48,25 HECKEL ROAD MCKEES ROCKS PA,40.4727306,-80.0909473
49,"41 PERIMETER CENTER EAST, SUITE 400 ATLANTA GA",33.9233278,-84.3303419
50,2155 DANA AVENUE CINCINNATI OH,39.1448184,-84.4590241
51,800 E CYPRESS DR PEMBROKE PINES FL,26.0025708,-80.2495046
52,611 SHERMAN AVE E FORT ATKINSON WI,42.9313095,-88.8279512
53,2600 GREENWOOD ROAD SHREVEPORT LA,32.48479710000001,-93.7795934
54,111 17TH AVENUE EAST ALEXANDRIA MN,45.8739484,-95.37604800000001
55,710 WEST MAIN STREET CROSBYTON TX,33.6604045,-101.2462245
56,500 SW RAMSEY AVENUE GRANTS PASS OR,42.4213563,-123.3429915
57,1331 STATE STREET LA PORTE IN,41.6095694,-86.728104
58,110 EAST MEDICAL CENTER BOULEVARD WEBSTER TX,29.5487991,-95.1158597
59,3500 W WHEATLAND RD DALLAS TX,32.6462777,-96.8771601
60,601 MAIN ST DUNEDIN FL,28.0140597,-82.78375609999999
61,1521 GULL ROAD KALAMAZOO MI,42.3070299,-85.5618077
62,5500 FRISCO SQUARE BLVD FRISCO TX,33.1510363,-96.8389524
63,30 SEVENTH AVENUE NEW YORK NY,40.7378021,-74.000909
64,1 MEDICAL CENTER DRIVE MORGANTOWN WV,39.652559,-79.95827349999999
65,135 AVE G APALACHICOLA FL,29.7241868,-84.9931139
66,602 N ACADIA ROAD THIBODAUX LA,29.7810535,-90.80559269999999
67,8745 N WICKHAM RD MELBOURNE FL,28.228045,-80.729223
68,351 S PATTERSON AVE SANTA BARBARA CA,34.4329289,-119.8107229
69,4101 4TH STREET TRAFFICWAY LEAVENWORTH KS,39.2775092,-94.8943853
70,1010 SOUTH BIRCH AVENUE HALLOCK MN,48.76786449999999,-96.93962529999999
71,"PDA 20 C/ SAN RAFAEL, SUITE 1395 FERNANDEZ JUNCOS PR",18.4446688,-66.0761248
72,"400 EAST 10TH STREET, PO BOX 2208 ANNISTON AL",33.6557721,-85.82318509999999
73,"218 E PACK ST, PO BOX 180 MOUNDRIDGE KS",38.205397,-97.5168558
74,100 MCDOUGAL DRIVE HOLDENVILLE OK,35.0895738,-96.3791146
75,501 SUNSET LANE CULPEPER VA,38.455279,-78.013412
76,2401 GILLHAM ROAD KANSAS CITY MO,39.0834675,-94.57711289999999
77,9500 NW 58TH ST DORAL FL,25.825616,-80.35126199999999
78,301 EAST MAIN STREET BAY SHORE NY,40.72587499999999,-73.24178599999999
79,130 DIVISION ST DERBY CT,41.3351303,-73.08904
80,4929 VAN NUYS BLVD SHERMAN OAKS CA,34.160328,-118.449161
81,19600 EAST 39TH STREET INDEPENDENCE MO,39.0494309,-94.3494482
82,3 MERCYCARE LANE GUILDERLAND NY,42.6996164,-73.904966
83,1015 WEST BALTIMORE PIKE WEST GROVE PA,39.8218183,-75.8870256
84,1227 EAST RUSHOLME STREET DAVENPORT IA,41.5422586,-90.5572528
85,2040 W 32ND STREET JOPLIN MO,37.0534924,-94.5383902
86,"CARR 877, KM 1, 6 CAMINO LAS LOMAS, RR2 RIO PIEDRAS PR",18.1026505,-66.6645127
87,2661 COUNTY HWY I CHIPPEWA FALLS WI,44.9503295,-91.359802
88,2211 N OAK PARK AVE CHICAGO IL,41.9196976,-87.7934994
89,1840 AMHERST STREET WINCHESTER VA,39.1945109,-78.19313489999999
90,125 NEWMAN STREET FAIRFIELD TX,31.72538999999999,-96.17067949999999
91,8 PROSPECT STREET NASHUA NH,42.7564074,-71.4620781
92,"655 7TH STREET, BUILDING 700, TRICARE OPERATIONS ROBINS AIR FORCE BASE GA",32.6400014,-83.591719
93,2600 SW HOLDEN SEATTLE WA,47.5339551,-122.3663366
94,9808 VENICE BLVD CULVER CITY CA,34.0234762,-118.3980106
95,452 OLD STREET ROAD PETERBOROUGH NH,42.8886354,-71.93640119999999
96,5755 CEDAR LANE COLUMBIA MD,39.2149487,-76.88620809999999
97,700 CHILDREN'S DRIVE COLUMBUS OH,39.9534218,-82.97806609999999
98,4608 HIGHWAY 1 RACELAND LA,29.7027604,-90.565457
99,2014 WASHINGTON STREET NEWTON MA,42.3302832,-71.2458595
